gene	chr	pos	neg_log10_pvalue
Gene_5247	chr6	60254295	0.778455
Gene_2385	chr20	47125860	0.350741
Gene_5984	chr9	3595776	0.146297
Gene_0614	chr9	38669501	0.349066
Gene_0704	chr2	215987658	0.343756
Gene_4199	chr14	4640476	0.089009
Gene_5317	chr11	65932793	0.908828
Gene_3914	chr2	42738748	0.646341
Gene_7682	chrX	5004123	3.174521
Gene_3220	chr2	25248429	0.053111
Gene_7411	chr3	175099991	0.517695
Gene_2618	chr14	45959425	0.180981
Gene_5844	chr13	65368293	1.194788
Gene_5390	chrX	30526956	0.804899
Gene_0884	chr1	233756789	0.533077
Gene_6165	chr2	93472968	0.043679
Gene_1469	chr17	29363057	0.252785
Gene_7907	chr15	50799854	3.304324
Gene_5850	chr2	164666862	0.611704
Gene_4329	chr14	42678234	0.109970
Gene_3510	chr5	55119137	0.452545
Gene_3712	chr19	25794762	0.461462
Gene_0978	chr11	72087886	1.078650
Gene_4299	chr16	42488296	0.067017
Gene_7100	chrX	25536846	0.417335
Gene_3680	chr16	65557135	0.395492
Gene_5591	chr8	135873823	0.164772
Gene_6828	chrX	27390217	0.100354
Gene_3233	chr8	28954974	0.161355
Gene_7798	chr15	68932876	3.417338
Gene_1565	chr1	20929771	0.459781
Gene_5311	chr3	18035732	1.251892
Gene_1111	chr2	209376998	0.515735
Gene_0499	chrY	2921985	0.080730
Gene_6400	chr7	39606300	0.367631
Gene_0757	chr6	141697331	0.015167
Gene_5742	chr4	86443226	0.044374
Gene_4886	chrY	24637958	0.356912
Gene_0020	chr9	64990970	0.954667
Gene_0275	chr5	30802355	0.150195
Gene_6461	chr3	75924936	0.172238
Gene_1448	chr15	35374374	0.753594
Gene_0117	chr3	117184783	0.484860
Gene_1914	chr2	46027925	0.046606
Gene_2499	chr5	103984235	0.582192
Gene_4998	chrX	13491954	0.036332
Gene_2427	chrY	5347520	0.325282
Gene_5721	chr7	85343396	0.111905
Gene_0502	chr10	32716944	0.370268
Gene_6313	chr2	62253885	0.362224
Gene_5651	chr12	69157014	0.282535
Gene_0637	chrY	14256141	0.014816
Gene_7565	chr8	103897352	0.921887
Gene_0497	chr3	191296306	0.694859
Gene_3601	chr11	55063558	0.672080
Gene_0239	chrY	8242910	1.246728
Gene_3248	chr9	27165195	0.157987
Gene_7316	chr17	31151923	0.653870
Gene_2173	chr2	106050156	1.089463
Gene_6196	chr2	185983844	0.705359
Gene_4381	chr17	52901938	0.077266
Gene_1251	chr17	67667732	1.211854
Gene_0389	chr9	37932456	0.130020
Gene_7236	chr20	42561766	0.202239
Gene_2138	chr3	17504619	1.251182
Gene_5695	chr16	30265839	0.482017
Gene_4585	chr7	152798082	0.523778
Gene_6152	chr12	50434667	0.166583
Gene_2620	chr20	1565832	0.683139
Gene_2339	chr9	18816459	0.299293
Gene_0663	chr8	2250478	0.292879
Gene_0242	chr5	85267254	0.063920
Gene_6150	chr4	145970930	0.297963
Gene_2150	chr19	43954063	1.198081
Gene_4545	chr2	123496233	0.017229
Gene_2649	chr17	64627544	0.344336
Gene_1130	chr15	26694370	0.265314
Gene_6812	chr5	33525123	0.372052
Gene_0623	chrX	105009345	0.665213
Gene_4916	chr4	52896176	0.362618
Gene_2481	chr7	139540161	0.253528
Gene_5012	chr4	175040677	0.878089
Gene_0011	chr10	130368548	1.210748
Gene_1518	chr1	51235713	0.455604
Gene_3063	chr9	133034033	0.704274
Gene_6762	chr1	226417569	0.005417
Gene_3110	chr4	18728125	0.284919
Gene_2071	chr11	116221305	0.476883
Gene_0920	chr3	45544668	0.641771
Gene_4247	chr20	56500599	0.799320
Gene_7372	chr4	103119014	0.203050
Gene_2399	chrX	59088999	0.852839
Gene_6164	chrX	55584630	0.000513
Gene_2311	chr16	57735650	0.313383
Gene_2372	chr8	47373134	0.081008
Gene_6108	chr18	68004584	0.104771
Gene_2595	chr20	10475475	0.051077
Gene_1216	chrX	44849850	0.232900
Gene_7188	chr4	25179723	0.103084
Gene_0297	chr13	79097086	0.137797
Gene_2703	chr12	124443890	0.658752
Gene_3783	chr8	144920678	0.888003
Gene_0136	chr2	54610288	0.182638
Gene_0023	chr13	23428686	0.335501
Gene_3289	chr7	90312584	0.444701
Gene_0957	chr7	16533982	0.321144
Gene_5058	chr13	59986667	0.841057
Gene_2407	chr9	28221021	0.420386
Gene_1672	chr1	21467353	0.511633
Gene_3594	chr8	92797604	0.057953
Gene_5894	chr5	137496844	0.045856
Gene_5302	chr14	88696314	1.066514
Gene_3792	chr6	48815106	0.074715
Gene_5713	chr22	6558036	0.677161
Gene_6816	chr2	88074660	0.318291
Gene_1057	chr3	136004665	0.517642
Gene_1940	chr13	89666186	0.753970
Gene_7888	chr11	46456297	5.127639
Gene_0415	chr17	48207956	0.514505
Gene_0089	chr16	36981928	0.103083
Gene_4965	chr10	122083337	0.713073
Gene_1009	chr16	30825555	1.253394
Gene_2392	chrX	119037772	0.538393
Gene_5487	chr16	51146005	0.278320
Gene_0022	chr8	111505725	0.410512
Gene_4852	chr15	5076704	0.127641
Gene_6717	chr10	36927979	0.471110
Gene_0031	chr14	68443861	0.107308
Gene_0093	chr7	155403366	0.359392
Gene_6387	chr13	47440856	0.566360
Gene_2824	chr5	33529502	0.514012
Gene_4557	chr7	22465043	0.342405
Gene_5008	chr6	133765168	0.033520
Gene_5612	chr4	172849978	0.102572
Gene_4790	chr5	45027307	0.938859
Gene_3943	chr3	178816303	0.250180
Gene_4973	chr1	232112120	0.847471
Gene_4189	chr2	177528820	0.443686
Gene_3969	chr3	12883790	0.472408
Gene_4754	chrX	15229786	0.387080
Gene_1752	chr8	49922731	0.401114
Gene_2186	chr7	106834747	0.103201
Gene_6412	chr5	122957750	1.107741
Gene_4403	chr16	67911425	0.052014
Gene_2106	chr5	90885055	0.457816
Gene_1105	chrY	55425058	0.388304
Gene_0983	chr9	127518345	0.301943
Gene_5315	chr12	101479279	0.413291
Gene_7741	chrY	50443063	3.996034
Gene_7061	chr6	82818625	0.037518
Gene_1015	chr6	55400028	0.160179
Gene_2665	chr15	87189115	0.000729
Gene_7229	chr6	150599939	0.319332
Gene_5746	chr4	78016816	0.081794
Gene_2108	chr3	79779772	0.035817
Gene_7908	chr3	165166625	3.064506
Gene_7335	chr5	132143935	0.539018
Gene_1642	chr11	3031403	0.142011
Gene_6582	chr12	113305877	0.151572
Gene_7781	chr17	4004960	3.053228
Gene_1126	chr5	122379692	0.458188
Gene_4649	chr5	133905601	0.204270
Gene_7060	chr2	43528708	1.157146
Gene_0844	chr3	52790196	0.402306
Gene_5029	chrX	7707411	0.677135
Gene_7583	chr3	42384793	0.011934
Gene_3260	chr4	160156346	0.638051
Gene_1732	chr12	113354478	0.197369
Gene_4128	chr15	100080183	0.619937
Gene_0072	chr5	133202217	0.068546
Gene_1200	chr2	7744997	0.459545
Gene_2880	chr7	61152352	0.155169
Gene_7027	chr6	74797331	0.771326
Gene_6111	chrX	108107020	0.091386
Gene_1839	chr1	9933327	0.113850
Gene_2072	chr15	57811511	0.001634
Gene_3463	chr16	80456411	0.570896
Gene_0583	chr7	34353668	0.035447
Gene_4785	chr3	167352095	0.789488
Gene_6415	chr9	102960190	0.031972
Gene_2032	chr12	65516954	0.008879
Gene_1653	chr6	37633595	0.106995
Gene_2818	chr15	49865529	0.028593
Gene_4425	chr7	104790914	0.587661
Gene_5818	chr14	50149268	0.042757
Gene_1947	chr15	52050320	0.301494
Gene_6462	chr4	132389398	0.519618
Gene_3862	chr1	172080944	0.594883
Gene_4013	chr15	79531619	1.011535
Gene_4409	chr5	65136885	0.063099
Gene_7128	chr9	60574572	0.002405
Gene_7082	chr1	154755312	0.432565
Gene_1616	chr9	82506583	0.331668
Gene_5677	chr1	77448803	0.563081
Gene_1636	chr11	44076568	0.344030
Gene_1184	chr18	47417162	0.000379
Gene_3721	chr17	47901321	0.130584
Gene_0701	chr16	37859412	0.820023
Gene_2175	chr6	138235109	0.078991
Gene_0560	chr12	72352827	0.057181
Gene_3377	chr18	7072369	0.032392
Gene_2378	chr12	13242016	0.266922
Gene_2121	chr1	143186116	0.384052
Gene_7521	chr17	52939253	0.055433
Gene_0800	chr7	105024799	0.601396
Gene_3406	chr7	36275121	0.209409
Gene_6110	chr9	123730926	0.879125
Gene_3135	chr10	74776008	0.210683
Gene_5611	chr3	13544644	0.058915
Gene_2474	chr9	35094038	0.710841
Gene_0733	chr5	177264140	0.312539
Gene_6839	chrX	65916322	0.386918
Gene_0986	chr18	56430141	0.023761
Gene_6766	chr18	29004375	0.474286
Gene_0541	chr12	11327728	0.281119
Gene_7056	chr15	2649528	0.190102
Gene_1185	chr16	83507120	0.374309
Gene_6356	chr7	45303298	0.201733
Gene_1327	chr18	15635119	0.521030
Gene_1984	chr11	52005469	0.890229
Gene_4282	chr1	4793481	0.244842
Gene_1692	chr4	59541938	0.109992
Gene_1305	chr12	18074544	0.254932
Gene_1561	chr2	159690042	0.270090
Gene_5410	chrY	19255979	0.992114
Gene_0056	chr13	74998650	0.488963
Gene_4961	chr21	38648092	0.063568
Gene_5053	chr8	17704245	0.914653
Gene_6416	chr14	29429076	0.093394
Gene_6117	chr4	26403980	0.228075
Gene_5106	chr3	187390376	0.873826
Gene_7896	chr18	28718529	3.355470
Gene_6586	chr2	46518940	0.194895
Gene_2589	chr17	12414334	0.067021
Gene_1362	chr17	22643091	0.880798
Gene_4666	chr9	72907029	0.097111
Gene_1564	chr12	36317167	0.273044
Gene_4552	chr2	21170352	0.191408
Gene_4921	chr3	28364629	0.067994
Gene_1170	chr4	96841422	0.204297
Gene_3152	chr2	166514105	0.183623
Gene_7578	chr21	18091181	0.079987
Gene_5051	chr6	116610411	0.276643
Gene_2381	chr20	10764557	0.025560
Gene_2851	chr2	175608767	0.237829
Gene_4738	chr6	79591882	0.150707
Gene_3192	chr7	66974689	0.853311
Gene_3856	chr9	92372245	0.137587
Gene_5946	chr13	72014694	0.784796
Gene_6340	chr13	100100078	0.175701
Gene_2948	chr1	78757889	0.247893
Gene_2426	chr11	99289275	0.208142
Gene_6649	chr5	46392801	0.669503
Gene_3151	chr3	118148122	0.505510
Gene_4900	chr10	28938499	0.895557
Gene_5406	chr7	67409239	0.236706
Gene_6900	chr21	24031547	0.011965
Gene_6120	chr7	99733968	0.191501
Gene_7088	chr19	38718621	0.010599
Gene_0142	chrY	49897207	0.199814
Gene_5142	chr3	154307684	0.319022
Gene_5814	chr16	35486256	0.111760
Gene_7075	chr9	33375076	0.328602
Gene_5567	chr4	11364355	0.313100
Gene_2863	chr15	42487203	0.081567
Gene_3637	chr13	24322945	0.262810
Gene_0699	chr19	5330606	0.346234
Gene_1352	chr8	103482007	0.323915
Gene_6148	chr12	55665996	0.059080
Gene_7175	chrX	138926771	0.108278
Gene_7145	chr5	52129985	0.615133
Gene_2307	chr4	126976443	0.127509
Gene_3978	chr5	171321712	0.157468
Gene_2238	chr10	24527390	0.364014
Gene_1917	chr9	79626666	0.906846
Gene_1586	chr3	126561565	0.066918
Gene_1221	chr1	230333730	0.100112
Gene_3156	chr6	69711672	1.280807
Gene_7727	chr4	6442800	3.201227
Gene_2080	chr3	46362076	0.089622
Gene_2287	chr3	94954657	0.305242
Gene_7614	chr22	15522317	3.663847
Gene_0526	chr9	86021102	0.310454
Gene_1363	chr3	44511846	0.677417
Gene_1196	chr6	121377593	1.024304
Gene_0495	chr4	66761775	0.049053
Gene_2010	chr2	158455474	0.233243
Gene_5752	chr1	208409378	0.993348
Gene_6433	chr6	43832826	0.136262
Gene_7683	chr1	160753546	3.189934
Gene_4091	chr9	101377861	0.322411
Gene_6345	chr17	11957762	0.441104
Gene_6126	chr15	67985741	0.022968
Gene_3199	chr22	39732205	0.011859
Gene_1224	chr18	11260934	1.255332
Gene_3258	chr4	125001524	0.093412
Gene_4323	chr1	28025615	0.691793
Gene_1093	chr4	168999264	0.334088
Gene_0882	chr3	97004375	0.218547
Gene_6024	chr6	159515694	0.954897
Gene_1842	chr12	39284341	0.424243
Gene_5415	chr1	172785692	0.192226
Gene_2090	chr1	97259682	0.425282
Gene_7723	chr5	29977783	3.090396
Gene_1036	chr16	60840436	0.544993
Gene_2011	chrX	138730510	0.232699
Gene_4451	chr2	3808103	1.230185
Gene_4088	chrX	53675830	0.531100
Gene_5455	chr11	34255910	0.212847
Gene_5389	chr1	5776296	0.063638
Gene_0044	chr2	226953782	0.771976
Gene_0697	chr9	96824106	0.445355
Gene_2163	chr16	61471920	0.099233
Gene_4725	chr19	14168932	0.553443
Gene_0833	chr8	97583057	0.084791
Gene_5637	chr19	41069690	0.482443
Gene_0079	chr14	83074392	0.494154
Gene_5687	chr15	10246209	0.448592
Gene_4854	chrX	27280810	0.216133
Gene_4176	chr9	42825006	0.930402
Gene_1946	chr1	53809564	0.857995
Gene_3665	chr11	124504692	0.540476
Gene_2607	chr5	157070711	0.890657
Gene_2435	chr1	139529073	0.675441
Gene_6316	chr13	107482007	0.075993
Gene_4956	chr12	76904019	1.033109
Gene_3863	chr1	112255062	0.065728
Gene_6760	chr17	80400969	0.111613
Gene_6466	chr4	94826341	0.807393
Gene_5829	chr9	133216514	0.565923
Gene_4463	chr2	15866876	0.574272
Gene_4250	chr3	117451241	0.204585
Gene_4638	chr13	28666146	0.042961
Gene_0268	chr1	104240438	0.075702
Gene_7571	chr9	8195963	0.358222
Gene_1697	chr7	138764204	0.030939
Gene_1115	chr16	9247077	0.199116
Gene_0634	chr6	159987699	0.029818
Gene_5386	chr15	59633714	0.201307
Gene_5260	chrX	91235977	0.497656
Gene_7539	chr12	36208044	0.520874
Gene_7160	chr7	142336335	0.558324
Gene_5007	chr8	44919408	0.169709
Gene_4416	chr22	5924556	0.166438
Gene_3394	chr2	22571743	0.273950
Gene_0251	chr15	88012645	0.229197
Gene_6737	chr2	92296725	0.095680
Gene_4067	chr8	131451576	0.208269
Gene_3032	chr7	134266449	0.382903
Gene_2564	chr11	113374723	0.225719
Gene_7373	chr1	120404636	0.560287
Gene_1765	chr1	186978742	0.498789
Gene_2213	chr1	27607295	0.352919
Gene_0810	chr2	57991030	0.216648
Gene_5363	chr17	57892051	0.147586
Gene_7149	chr14	51289516	0.040345
Gene_0129	chr6	142431754	0.079958
Gene_3744	chr12	62715993	0.057154
Gene_0177	chr1	213965421	0.278834
Gene_5662	chr11	78196676	0.209180
Gene_0391	chr18	12383583	0.246812
Gene_1674	chr1	33432822	0.001232
Gene_2403	chr9	63622158	0.272883
Gene_2508	chr2	199756780	0.215467
Gene_3766	chr8	119871797	0.488927
Gene_0783	chr4	111148757	0.181004
Gene_5208	chr3	36534064	0.351959
Gene_6221	chr12	118901634	0.728645
Gene_7961	chr4	179799331	3.377984
Gene_7322	chr21	36323129	0.529427
Gene_7962	chr1	72530487	4.018098
Gene_3459	chr13	46020515	0.804311
Gene_3581	chr4	144121782	0.379815
Gene_4007	chr2	18894564	0.701780
Gene_3319	chr8	45615113	1.273893
Gene_4382	chr4	184540585	0.474615
Gene_5741	chr12	123338342	0.324111
Gene_7275	chr5	50836547	0.008643
Gene_4289	chr10	75215819	0.066529
Gene_7364	chr9	120798809	0.038549
Gene_3070	chr11	84721569	0.352999
Gene_0785	chr19	27902388	0.894156
Gene_5284	chr1	185341916	0.001572
Gene_4750	chr16	85092174	0.550645
Gene_4232	chr16	42054356	0.024906
Gene_6670	chr4	123163135	0.899781
Gene_0358	chr7	30141756	0.349031
Gene_0979	chr13	29356986	0.637484
Gene_5656	chr11	20099316	0.265306
Gene_3365	chr2	134385388	0.447344
Gene_7161	chr11	52149500	0.215780
Gene_3241	chr2	224151423	0.670859
Gene_6081	chr7	122349405	1.243799
Gene_4319	chr5	179187509	0.918244
Gene_3061	chrY	45646576	0.179645
Gene_5462	chr2	160450330	0.080527
Gene_1400	chr17	73692881	0.624914
Gene_7290	chr4	174471903	0.313877
Gene_6495	chr8	27199608	0.005429
Gene_2361	chr14	38191845	0.595325
Gene_4676	chr18	69190868	0.131910
Gene_4161	chrY	40539445	0.002653
Gene_1444	chr4	96054386	0.938502
Gene_3641	chr5	91923218	0.684937
Gene_7184	chr22	17680370	0.509124
Gene_3910	chr13	65810838	0.023526
Gene_7680	chr1	200461518	3.350418
Gene_5962	chr1	213748511	0.375200
Gene_0478	chr9	102120148	0.076306
Gene_3026	chr4	13817259	0.740646
Gene_6775	chr8	114109074	0.435200
Gene_3197	chr12	96950884	0.027630
Gene_4172	chrX	106420959	0.046504
Gene_3218	chr4	91139812	0.253623
Gene_5586	chr12	16820454	0.150978
Gene_7933	chr4	82418130	3.121842
Gene_5776	chr8	29429482	0.393180
Gene_6382	chr8	12233665	0.002753
Gene_2214	chr8	16981687	0.498801
Gene_6216	chr1	169134222	0.053062
Gene_5139	chr12	49701670	0.093900
Gene_3849	chr16	20130538	0.399446
Gene_2429	chr22	11847007	0.239707
Gene_3848	chr12	120799051	0.634243
Gene_1759	chr3	40787307	0.279607
Gene_3164	chr13	6979737	0.319256
Gene_5147	chr4	48519010	0.691964
Gene_0673	chrX	45172092	0.402244
Gene_3148	chr1	79179831	0.063437
Gene_7940	chr9	117436068	4.018667
Gene_1103	chr5	10999720	0.083433
Gene_4820	chr14	102811949	0.364589
Gene_3297	chr8	58837162	0.229616
Gene_1598	chr11	3538237	0.538906
Gene_4510	chr1	182205157	0.331717
Gene_4561	chrX	125682404	0.177130
Gene_0855	chr6	28907586	0.014944
Gene_0626	chr14	92686919	0.676352
Gene_7778	chr9	52917940	3.410397
Gene_3159	chr2	100561698	0.254027
Gene_4304	chr15	76236458	0.937469
Gene_1364	chr1	73276189	0.295986
Gene_2478	chr13	74468180	0.003742
Gene_4052	chr12	122135552	0.093196
Gene_1061	chr7	66496659	0.097260
Gene_3194	chr13	99506003	0.526572
Gene_7312	chr3	119071276	0.120590
Gene_7925	chr16	64127652	4.407603
Gene_5089	chr2	150648809	0.005026
Gene_4087	chr17	32498845	0.728746
Gene_0935	chr20	31101347	0.627686
Gene_4579	chrX	127950004	0.441595
Gene_0373	chr13	56776510	0.037948
Gene_3900	chr13	94157913	0.496689
Gene_6750	chr2	72425473	0.158734
Gene_0866	chrX	15757041	0.398606
Gene_4369	chr5	5695266	0.076608
Gene_1935	chr14	42660504	0.211790
Gene_5801	chr7	101448631	0.307497
Gene_2348	chr15	85112723	0.100632
Gene_2780	chr10	33606145	0.030874
Gene_2861	chr3	122343298	0.417330
Gene_5847	chrX	42040458	0.904213
Gene_5073	chr18	57741734	0.868916
Gene_6529	chr5	152537565	0.177697
Gene_3153	chrX	82809597	0.137591
Gene_3727	chr10	82988691	0.188800
Gene_4818	chr20	9592497	0.092737
Gene_6256	chr16	3946493	0.107069
Gene_5629	chr7	52825340	0.154866
Gene_1110	chr1	94339420	0.076218
Gene_0938	chr2	189770987	0.169956
Gene_6018	chr7	153304062	0.128792
Gene_0548	chr15	60050987	0.007524
Gene_2062	chr7	25266785	0.004625
Gene_0015	chr6	155625184	0.426461
Gene_0531	chr4	105733744	0.974100
Gene_1347	chr1	98301716	0.330065
Gene_1417	chr4	110138171	0.201563
Gene_1857	chr7	55872559	0.672297
Gene_7705	chr18	28634328	3.095578
Gene_1996	chr19	2129709	0.147358
Gene_3256	chr2	46095004	0.161979
Gene_6881	chr18	17260191	0.535004
Gene_2396	chr2	201982453	0.904207
Gene_2630	chrX	151449263	0.248377
Gene_2698	chr14	83450050	0.333360
Gene_7170	chr13	76910626	0.501865
Gene_2624	chr3	496627	0.239270
Gene_6887	chr16	74469394	0.080143
Gene_2803	chr2	234240968	0.076242
Gene_2301	chr3	157454257	0.273019
Gene_3023	chrX	90264212	0.348073
Gene_6541	chr7	140252318	0.155176
Gene_2430	chr6	161197296	0.009406
Gene_2997	chr1	72844507	0.929835
Gene_1102	chr20	1791457	0.882348
Gene_2400	chr6	92673448	0.066056
Gene_0467	chr20	62488171	1.042185
Gene_4751	chr6	156969873	0.221481
Gene_3526	chr2	105260177	0.434481
Gene_2462	chr13	82030780	0.076981
Gene_5971	chr3	24088203	0.143970
Gene_3647	chr3	195003911	0.724863
Gene_3679	chr17	43187276	0.733427
Gene_3340	chr15	9754044	0.060538
Gene_1881	chrY	43246834	0.011181
Gene_6240	chr21	26742271	0.276228
Gene_0940	chr9	45337534	0.921555
Gene_6790	chr5	31798639	0.340426
Gene_2494	chr7	99559049	0.794733
Gene_0812	chr21	46351396	0.472996
Gene_0883	chr3	169740648	0.113793
Gene_4256	chr10	2839594	1.240102
Gene_1632	chr16	25698183	0.317287
Gene_3616	chr7	66784723	0.018339
Gene_1854	chr22	16876291	0.446770
Gene_7845	chr1	59957140	3.418667
Gene_5423	chr7	38323018	0.244617
Gene_3557	chr14	78680981	0.133574
Gene_1963	chr9	110199633	0.551224
Gene_6694	chr1	43381489	0.369901
Gene_4359	chr18	62082922	0.525706
Gene_1370	chr9	133550387	0.069170
Gene_3742	chr16	83506200	0.202145
Gene_2492	chr10	25830554	0.066392
Gene_2125	chr8	120727489	0.158354
Gene_1578	chr12	11315082	0.469288
Gene_5398	chr5	86040028	0.393133
Gene_5749	chrX	105337866	0.383457
Gene_2652	chr18	72017259	0.267762
Gene_3001	chr3	59973539	0.101647
Gene_7867	chr4	6485356	3.672798
Gene_6050	chr17	69938572	0.073464
Gene_5676	chr4	81135551	0.499044
Gene_2107	chr1	42233755	0.404143
Gene_1391	chr2	152773595	0.004845
Gene_2633	chr20	32467207	0.068888
Gene_3251	chr12	122841890	0.427698
Gene_5206	chr1	159294559	0.959092
Gene_7602	chr17	35067253	3.061777
Gene_6339	chr13	100463388	0.019631
Gene_3207	chr20	5919262	0.913342
Gene_2268	chrX	32889210	0.325414
Gene_2040	chr4	47790729	0.145733
Gene_7739	chr12	2153620	3.015035
Gene_4524	chr8	134918391	0.659933
Gene_1918	chr2	81660901	0.357442
Gene_4795	chr1	68942466	0.314215
Gene_1409	chr4	71705083	0.808232
Gene_7784	chrY	22623112	5.693456
Gene_5678	chr7	54299574	0.156921
Gene_2944	chr9	81878956	0.964602
Gene_7801	chr3	46741017	4.637775
Gene_6469	chr8	109262033	0.299427
Gene_2149	chr4	77438107	0.147359
Gene_5001	chr1	170787911	0.690530
Gene_0514	chr9	26218058	0.318151
Gene_6971	chr9	97095544	0.133155
Gene_5380	chr15	94259198	0.215420
Gene_3861	chr9	97522407	0.806297
Gene_6654	chr5	81704165	0.327521
Gene_1542	chr17	81278262	0.822456
Gene_6109	chrX	37892714	0.029574
Gene_2247	chr11	121958209	0.165343
Gene_6751	chr5	114291827	0.547034
Gene_2823	chr13	16422893	0.510787
Gene_5985	chr14	53894101	0.464942
Gene_5425	chrX	127971979	0.496672
Gene_6660	chr4	75090280	0.618564
Gene_1000	chr1	157707529	0.019760
Gene_1128	chr4	111882178	0.051988
Gene_7234	chr1	23042602	0.399612
Gene_1915	chr8	111294307	0.493971
Gene_7231	chr11	109905444	0.941528
Gene_2094	chr19	48902869	0.653383
Gene_5730	chr8	56193883	0.552981
Gene_5411	chr15	71946510	0.820933
Gene_3464	chr21	16558651	0.089600
Gene_5388	chr1	134869360	0.160802
Gene_4620	chr7	122673808	0.254441
Gene_4917	chr7	150451745	0.718787
Gene_4220	chr1	161887619	0.795197
Gene_7900	chr12	20792590	4.047068
Gene_1869	chr10	44828061	0.205278
Gene_3994	chr3	137578695	0.627812
Gene_2991	chr8	118768655	0.259463
Gene_4796	chr12	122797823	0.082004
Gene_7597	chr16	20766729	1.225339
Gene_4075	chr10	4719903	0.344359
Gene_0775	chr4	28738478	0.346685
Gene_0680	chr6	92041093	0.458944
Gene_5219	chr22	42625742	0.284460
Gene_1982	chr2	49233999	0.667987
Gene_1646	chr7	129912149	0.100145
Gene_7268	chr13	25604774	0.273705
Gene_1733	chr17	36511861	0.425877
Gene_5084	chr2	38822305	0.276678
Gene_2368	chr3	186574935	0.063315
Gene_0831	chr4	149026098	0.172147
Gene_2360	chr1	67233148	0.538666
Gene_5488	chr20	40714914	0.240947
Gene_6370	chr7	2078238	1.182477
Gene_6709	chrX	87797001	0.008774
Gene_0006	chr3	178325494	0.120048
Gene_5666	chr12	7903233	0.033093
Gene_7515	chr16	50290514	0.228703
Gene_3469	chr5	66188167	0.105302
Gene_7720	chr20	32927283	3.042824
Gene_1979	chrX	26911059	0.527906
Gene_6130	chr10	55688962	0.067743
Gene_4650	chr17	49660820	0.330092
Gene_5572	chr1	153370685	0.198404
Gene_4487	chr8	2338300	0.031535
Gene_6075	chr15	48193470	0.088198
Gene_0432	chr16	56364510	0.128466
Gene_4643	chr2	213166103	0.168472
Gene_1537	chr8	37833923	0.417005
Gene_0834	chr14	92408967	0.633472
Gene_7975	chr1	15010233	4.441391
Gene_3535	chr6	50143356	0.567222
Gene_1443	chr9	53620334	0.061432
Gene_1972	chr7	33780839	0.342897
Gene_4952	chr2	239503816	0.963093
Gene_0307	chr8	23664023	0.643079
Gene_3592	chr6	163576663	0.444197
Gene_7062	chr19	16692147	0.422017
Gene_4659	chr1	32729729	0.086305
Gene_4662	chr7	79174335	0.238742
Gene_2489	chr4	71454102	0.288041
Gene_1617	chr5	44300436	0.162580
Gene_5728	chr8	117711839	0.261111
Gene_4664	chr17	43275501	0.014551
Gene_2279	chr18	34914680	0.545877
Gene_1594	chr20	23996810	0.072838
Gene_4937	chr2	172519026	0.424772
Gene_1161	chr13	23102223	0.351734
Gene_2501	chrX	35711374	0.451752
Gene_5230	chr6	116833860	0.012912
Gene_3145	chr14	86231952	0.174382
Gene_6222	chr14	87482279	0.028719
Gene_6640	chr6	33627046	0.337661
Gene_4851	chr2	3774151	0.075154
Gene_5601	chr9	94009610	0.740145
Gene_6778	chr1	34042409	0.031641
Gene_4270	chr4	86047038	0.713096
